job,conclusion,failed_step,blocked_followups,run_id,head_sha
Policy and governance / Verify affected policy domains,failure,Verify migration manifest drift,"generated provenance, security, workflow, runtime config, immutable policy diff",30915539526,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
Static diagnostics / Affected diagnostics,failure,Enforce all diagnostic results,none; artifacts emitted,30915539526,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
Runtime proof / Execute scoped runtime proof,failure,Execute selected runtime profile,full readback,30915539526,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
Node verification / Run detected journey gates,failure,Enforce journey gate result,journey closure,30915539526,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
Node verification / deep Node verification,failure,Enforce immutable diff result,Node graph and Expo configuration,30915539526,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
Backend verification / Verify dsh backend and database,failure,Apply migrations and verify safety contracts,DSH test and build,30915539526,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
Backend verification / Verify wlt backend and database,failure,Apply migrations and verify safety contracts,WLT test and build,30915539526,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
Backend verification / Verify identity backend and database,success,,,30915539526,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
Backend verification / Verify workforce backend and database,success,,,30915539526,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
Backend verification / Verify platform-control backend and database,success,,,30915539526,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
Backend verification / Verify providers backend and database,success,,,30915539526,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
