"record_id","source_path","target_path","target_anchor","fragment_id","owner","service","section","surface","consumer_surfaces","capability","slice_id","integration_scope","layer","artifact_type","imports","runtime_data","api_binding","db_dependency","auth_dependency","wlt_dependency","ui_kit_compliance","test_coverage","evidence","decision","action","risk","rollback","status","next_action"
"EXT-0001","contracts/master.openapi.yaml","contracts/master.openapi.yaml","contract:FOUNDATION","fragment:EXT-0001","platform","core","none","system","","contract-index","FOUNDATION","none","contract","master-openapi-index","repository-owned dependency","no product runtime created in repair","index-only; paths must remain empty","none in repair","canonical identity contract when applicable","none","shared ui-kit public boundary","foundation guard","exists in target and verified - contracts/master.openapi.yaml","ADOPT_AS_IS","retain or create only in its owning future slice","missing or drifting foundation boundary","restore pre-slice inventory state","INVENTORY_ONLY","Retain as shared prerequisite"
"EXT-0002","core/identity/contracts/auth.openapi.yaml","core/identity/contracts/auth.openapi.yaml","contract:FOUNDATION","fragment:EXT-0002","core","core","none","system","","identity-access","FOUNDATION","none","contract","auth-openapi","repository-owned dependency","no product runtime created in repair","review at owning slice","none in repair","canonical identity contract when applicable","none","shared ui-kit public boundary","foundation guard","core/identity/contracts/auth.openapi.yaml","REWRITE_FROM_SPEC","retain or create only in its owning future slice","missing or drifting foundation boundary","restore pre-slice inventory state","INVENTORY_ONLY","Retain as shared prerequisite"
"EXT-0003","shared/ui-kit","shared/ui-kit","","fragment:EXT-0003","shared-ui-kit","shared-ui-kit","none","all-surfaces","","ui-kit","FOUNDATION","none","frontend-shared","ui-kit-package","repository-owned dependency","no product runtime created in repair","review at owning slice","none in repair","canonical identity contract when applicable","none","shared ui-kit public boundary","foundation guard","exists in target and verified - shared/ui-kit","ADOPT_AS_IS","retain or create only in its owning future slice","missing or drifting foundation boundary","restore pre-slice inventory state","INVENTORY_ONLY","Retain as shared prerequisite"
"EXT-0004","shared/app-shell","shared/app-shell","","fragment:EXT-0004","shared-app-shell","shared-app-shell","none","all-surfaces","","app-shell","FOUNDATION","none","app-mount","shell-package","repository-owned dependency","no product runtime created in repair","review at owning slice","none in repair","canonical identity contract when applicable","none","shared ui-kit public boundary","foundation guard","exists in target and verified - shared/app-shell","ADOPT_AS_IS","retain or create only in its owning future slice","missing or drifting foundation boundary","restore pre-slice inventory state","INVENTORY_ONLY","Retain as shared prerequisite"
"EXT-0005","infra/docker","infra/docker","","fragment:EXT-0005","core","core","none","system","","runtime-compose","FOUNDATION","none","docker","docker-runtime","repository-owned dependency","no product runtime created in repair","review at owning slice","none in repair","canonical identity contract when applicable","none","shared ui-kit public boundary","foundation guard","exists in target and verified - infra/docker","ADOPT_AS_IS","retain or create only in its owning future slice","missing or drifting foundation boundary","restore pre-slice inventory state","INVENTORY_ONLY","Retain as shared prerequisite"
"EXT-0006","infra/data-plane","infra/data-plane","","fragment:EXT-0006","core","core","none","system","","data-plane","FOUNDATION","none","database","data-plane","repository-owned dependency","no product runtime created in repair","review at owning slice","none in repair","canonical identity contract when applicable","none","shared ui-kit public boundary","foundation guard","exists in target and verified - infra/data-plane","ADOPT_AS_IS","retain or create only in its owning future slice","missing or drifting foundation boundary","restore pre-slice inventory state","INVENTORY_ONLY","Retain as shared prerequisite"
"EXT-0007","SPEC:FOUNDATION:services/_template-required","services/_template","","fragment:EXT-0007","shared-app-shell","shared-app-shell","none","system","","service-template","FOUNDATION","none","governance","missing-service-template","repository-owned dependency","no product runtime created in repair","review at owning slice","none in repair","canonical identity contract when applicable","none","shared ui-kit public boundary","foundation guard","SPEC:services/_template-required","REWRITE_FROM_SPEC","retain or create only in its owning future slice","missing or drifting foundation boundary","restore pre-slice inventory state","BLOCKED_NEEDS_EVIDENCE","Resolve missing foundation artifact before dependent slice"
"EXT-0008","services/dsh/service.manifest.ts","services/dsh/service.manifest.ts","","fragment:EXT-0008","dsh","dsh","none","system","","service-manifest","PHASE-10A","none","governance","service-manifest","repository-owned dependency","no product runtime created in repair","review at owning slice","none in repair","canonical identity contract when applicable","none","shared ui-kit public boundary","foundation guard","exists in target and verified - services/dsh/service.manifest.ts","ADOPT_AS_IS","retain or create only in its owning future slice","missing or drifting foundation boundary","restore pre-slice inventory state","INVENTORY_ONLY","Retain as shared prerequisite"
"EXT-0009","SPEC:WLT-FOUNDATION:services/wlt/service.manifest.ts-required","services/wlt/service.manifest.ts","","fragment:EXT-0009","wlt","wlt","none","system","","service-manifest","WLT-FOUNDATION","wlt-read-only","governance","missing-service-manifest","repository-owned dependency","no product runtime created in repair","review at owning slice","none in repair","canonical identity contract when applicable","read-only-reference","shared ui-kit public boundary","foundation guard","SPEC:services/wlt/service.manifest.ts-required","REWRITE_FROM_SPEC","retain or create only in its owning future slice","missing or drifting foundation boundary","restore pre-slice inventory state","BLOCKED_NEEDS_EVIDENCE","Resolve missing foundation artifact before dependent slice"
"EXT-0010","SPEC:RESERVED:reserved-service-knz","services/knz","","fragment:EXT-0010","core","core","none","all-surfaces","","reserved-inventory","RESERVED","none","governance","reserved-service","none","activation prohibited","none","none","none until activation","none","required if activated","activation guard required","governance/02_SERVICES_AND_SURFACES.md","REFERENCE_ONLY","do not activate","accidental scope expansion","remove accidental mount or registration","RESERVED_INVENTORY","Remain inactive until an independently approved service slice"
"EXT-0011","SPEC:RESERVED:reserved-service-arb","services/arb","","fragment:EXT-0011","core","core","none","all-surfaces","","reserved-inventory","RESERVED","none","governance","reserved-service","none","activation prohibited","none","none","none until activation","none","required if activated","activation guard required","governance/02_SERVICES_AND_SURFACES.md","REFERENCE_ONLY","do not activate","accidental scope expansion","remove accidental mount or registration","RESERVED_INVENTORY","Remain inactive until an independently approved service slice"
"EXT-0012","SPEC:RESERVED:reserved-service-amn","services/amn","","fragment:EXT-0012","core","core","none","all-surfaces","","reserved-inventory","RESERVED","none","governance","reserved-service","none","activation prohibited","none","none","none until activation","none","required if activated","activation guard required","governance/02_SERVICES_AND_SURFACES.md","REFERENCE_ONLY","do not activate","accidental scope expansion","remove accidental mount or registration","RESERVED_INVENTORY","Remain inactive until an independently approved service slice"
"EXT-0013","SPEC:RESERVED:reserved-service-esf","services/esf","","fragment:EXT-0013","core","core","none","all-surfaces","","reserved-inventory","RESERVED","none","governance","reserved-service","none","activation prohibited","none","none","none until activation","none","required if activated","activation guard required","governance/02_SERVICES_AND_SURFACES.md","REFERENCE_ONLY","do not activate","accidental scope expansion","remove accidental mount or registration","RESERVED_INVENTORY","Remain inactive until an independently approved service slice"
"EXT-0014","SPEC:RESERVED:reserved-service-mrf","services/mrf","","fragment:EXT-0014","core","core","none","all-surfaces","","reserved-inventory","RESERVED","none","governance","reserved-service","none","activation prohibited","none","none","none until activation","none","required if activated","activation guard required","governance/02_SERVICES_AND_SURFACES.md","REFERENCE_ONLY","do not activate","accidental scope expansion","remove accidental mount or registration","RESERVED_INVENTORY","Remain inactive until an independently approved service slice"
"EXT-0015","SPEC:RESERVED:reserved-service-snd","services/snd","","fragment:EXT-0015","core","core","none","all-surfaces","","reserved-inventory","RESERVED","none","governance","reserved-service","none","activation prohibited","none","none","none until activation","none","required if activated","activation guard required","governance/02_SERVICES_AND_SURFACES.md","REFERENCE_ONLY","do not activate","accidental scope expansion","remove accidental mount or registration","RESERVED_INVENTORY","Remain inactive until an independently approved service slice"
"EXT-0016","SPEC:RESERVED:reserved-service-kwd","services/kwd","","fragment:EXT-0016","core","core","none","all-surfaces","","reserved-inventory","RESERVED","none","governance","reserved-service","none","activation prohibited","none","none","none until activation","none","required if activated","activation guard required","governance/02_SERVICES_AND_SURFACES.md","REFERENCE_ONLY","do not activate","accidental scope expansion","remove accidental mount or registration","RESERVED_INVENTORY","Remain inactive until an independently approved service slice"
"EXT-0017","SPEC:RESERVED:reserved-surface-webapp","apps/webapp","","fragment:EXT-0017","shared-app-shell","shared-app-shell","none","webapp","","reserved-inventory","RESERVED","none","governance","reserved-surface","none","activation prohibited","none","none","none until activation","none","required if activated","activation guard required","governance/02_SERVICES_AND_SURFACES.md","REFERENCE_ONLY","do not activate","accidental scope expansion","remove accidental mount or registration","RESERVED_INVENTORY","Remain inactive until an independently approved service slice"
"EXT-0018","SPEC:RESERVED:reserved-surface-website","apps/website","","fragment:EXT-0018","shared-app-shell","shared-app-shell","none","website","","reserved-inventory","RESERVED","none","governance","reserved-surface","none","activation prohibited","none","none","none until activation","none","required if activated","activation guard required","governance/02_SERVICES_AND_SURFACES.md","REFERENCE_ONLY","do not activate","accidental scope expansion","remove accidental mount or registration","RESERVED_INVENTORY","Remain inactive until an independently approved service slice"
"EXT-0019","SPEC:DSH-001:governance","services/dsh/service.manifest.ts","","fragment:EXT-0019","dsh","dsh","none","app-client","","store-discovery","DSH-001","none","governance","service-manifest","derive from approved service contract only","no runtime truth exists in target for this planned layer","blocked until Store Discovery contract is approved","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
"EXT-0020","SPEC:DSH-001:domain","services/dsh/domain/store-discovery/store-discovery.types.ts","","fragment:EXT-0020","dsh","dsh","none","app-client","","store-discovery","DSH-001","none","domain","planned-domain","derive from approved service contract only","no runtime truth exists in target for this planned layer","blocked until Store Discovery contract is approved","declared by slice when applicable","actor, role, tenant, assignment, and object scope from core identity","none","not applicable","contract, unit, integration, negative, authorization, and runtime evidence required by layer","required in DSH-001 evidence session","REWRITE_FROM_SPEC","implement only inside DSH-001 after its entry gate","premature implementation before contract and ownership approval","remove unapproved slice artifacts and retain inventory row","BLOCKED_NEEDS_API_CONTRACT","Approve service-owned Store Discovery OpenAPI before implementation"
