"screen_id","service","surface","section","capability","slice_id","target_path","route_path","loading_state","empty_state","error_state","permission_state","offline_state","retry_state","success_state","blocked_state","visual_reference","evidence_required","status","next_action"
"SCR-001","dsh","control-panel","partners","partner-orders","DSH-006","services/dsh/frontend/control-panel/partners/PartnerApprovalsScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerApprovalsRoute.tsx","PartnerApprovalsScreen preserves table or workspace geometry while loading authorized data","PartnerApprovalsScreen explains the zero-result condition and offers only a valid filter reset or owning workflow action","PartnerApprovalsScreen distinguishes validation, dependency, authorization, and server failures and displays a correlation reference","PartnerApprovalsScreen hides sensitive fields and actions and does not reveal whether an inaccessible object exists","PartnerApprovalsScreen shows unavailable or explicitly stale read state and never substitutes donor or preview data","PartnerApprovalsScreen retries bounded reads; writes require confirmation, retained idempotency key, and stale-version protection","PartnerApprovalsScreen renders the authoritative service read model and audited outcome","PartnerApprovalsScreen names the missing contract, permission, dependency, or business rule without claiming completion","donor visual pattern only; rebuild with public ui-kit exports","PartnerApprovalsScreen state render tests, permission test, RTL screenshot, narrow-width overflow screenshot","INVENTORY_ONLY","Implement with DSH-006 after contract approval"
"SCR-002","dsh","control-panel","partners","partner-orders","DSH-006","services/dsh/frontend/control-panel/partners/PartnerActivationScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerActivationRoute.tsx","PartnerActivationScreen preserves table or workspace geometry while loading authorized data","PartnerActivationScreen explains the zero-result condition and offers only a valid filter reset or owning workflow action","PartnerActivationScreen distinguishes validation, dependency, authorization, and server failures and displays a correlation reference","PartnerActivationScreen hides sensitive fields and actions and does not reveal whether an inaccessible object exists","PartnerActivationScreen shows unavailable or explicitly stale read state and never substitutes donor or preview data","PartnerActivationScreen retries bounded reads; writes require confirmation, retained idempotency key, and stale-version protection","PartnerActivationScreen renders the authoritative service read model and audited outcome","PartnerActivationScreen names the missing contract, permission, dependency, or business rule without claiming completion","donor visual pattern only; rebuild with public ui-kit exports","PartnerActivationScreen state render tests, permission test, RTL screenshot, narrow-width overflow screenshot","INVENTORY_ONLY","Implement with DSH-006 after contract approval"
"SCR-003","dsh","control-panel","partners","partner-orders","DSH-006","services/dsh/frontend/control-panel/partners/PartnerDocumentReviewScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerDocumentReviewRoute.tsx","PartnerDocumentReviewScreen preserves table or workspace geometry while loading authorized data","PartnerDocumentReviewScreen explains the zero-result condition and offers only a valid filter reset or owning workflow action","PartnerDocumentReviewScreen distinguishes validation, dependency, authorization, and server failures and displays a correlation reference","PartnerDocumentReviewScreen hides sensitive fields and actions and does not reveal whether an inaccessible object exists","PartnerDocumentReviewScreen shows unavailable or explicitly stale read state and never substitutes donor or preview data","PartnerDocumentReviewScreen retries bounded reads; writes require confirmation, retained idempotency key, and stale-version protection","PartnerDocumentReviewScreen renders the authoritative service read model and audited outcome","PartnerDocumentReviewScreen names the missing contract, permission, dependency, or business rule without claiming completion","donor visual pattern only; rebuild with public ui-kit exports","PartnerDocumentReviewScreen state render tests, permission test, RTL screenshot, narrow-width overflow screenshot","INVENTORY_ONLY","Implement with DSH-006 after contract approval"
"SCR-004","dsh","control-panel","partners","partner-orders","DSH-006","services/dsh/frontend/control-panel/partners/PartnerReadinessScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerReadinessRoute.tsx","PartnerReadinessScreen preserves table or workspace geometry while loading authorized data","PartnerReadinessScreen explains the zero-result condition and offers only a valid filter reset or owning workflow action","PartnerReadinessScreen distinguishes validation, dependency, authorization, and server failures and displays a correlation reference","PartnerReadinessScreen hides sensitive fields and actions and does not reveal whether an inaccessible object exists","PartnerReadinessScreen shows unavailable or explicitly stale read state and never substitutes donor or preview data","PartnerReadinessScreen retries bounded reads; writes require confirmation, retained idempotency key, and stale-version protection","PartnerReadinessScreen renders the authoritative service read model and audited outcome","PartnerReadinessScreen names the missing contract, permission, dependency, or business rule without claiming completion","donor visual pattern only; rebuild with public ui-kit exports","PartnerReadinessScreen state render tests, permission test, RTL screenshot, narrow-width overflow screenshot","INVENTORY_ONLY","Implement with DSH-006 after contract approval"
"SCR-005","dsh","control-panel","partners","partner-orders","DSH-006","services/dsh/frontend/control-panel/partners/PartnerDeactivationScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerDeactivationRoute.tsx","PartnerDeactivationScreen preserves table or workspace geometry while loading authorized data","PartnerDeactivationScreen explains the zero-result condition and offers only a valid filter reset or owning workflow action","PartnerDeactivationScreen distinguishes validation, dependency, authorization, and server failures and displays a correlation reference","PartnerDeactivationScreen hides sensitive fields and actions and does not reveal whether an inaccessible object exists","PartnerDeactivationScreen shows unavailable or explicitly stale read state and never substitutes donor or preview data","PartnerDeactivationScreen retries bounded reads; writes require confirmation, retained idempotency key, and stale-version protection","PartnerDeactivationScreen renders the authoritative service read model and audited outcome","PartnerDeactivationScreen names the missing contract, permission, dependency, or business rule without claiming completion","donor visual pattern only; rebuild with public ui-kit exports","PartnerDeactivationScreen state render tests, permission test, RTL screenshot, narrow-width overflow screenshot","INVENTORY_ONLY","Implement with DSH-006 after contract approval"
"SCR-006","dsh","control-panel","partners","partner-orders","DSH-006","services/dsh/frontend/control-panel/partners/PartnerFulfillmentLaneScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerFulfillmentLaneRoute.tsx","PartnerFulfillmentLaneScreen preserves table or workspace geometry while loading authorized data","PartnerFulfillmentLaneScreen explains the zero-result condition and offers only a valid filter reset or owning workflow action","PartnerFulfillmentLaneScreen distinguishes validation, dependency, authorization, and server failures and displays a correlation reference","PartnerFulfillmentLaneScreen hides sensitive fields and actions and does not reveal whether an inaccessible object exists","PartnerFulfillmentLaneScreen shows unavailable or explicitly stale read state and never substitutes donor or preview data","PartnerFulfillmentLaneScreen retries bounded reads; writes require confirmation, retained idempotency key, and stale-version protection","PartnerFulfillmentLaneScreen renders the authoritative service read model and audited outcome","PartnerFulfillmentLaneScreen names the missing contract, permission, dependency, or business rule without claiming completion","donor visual pattern only; rebuild with public ui-kit exports","PartnerFulfillmentLaneScreen state render tests, permission test, RTL screenshot, narrow-width overflow screenshot","INVENTORY_ONLY","Implement with DSH-006 after contract approval"
"SCR-007","dsh","control-panel","partners","partner-orders","DSH-006","services/dsh/frontend/control-panel/partners/PartnerIntakeScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerIntakeRoute.tsx","PartnerIntakeScreen preserves table or workspace geometry while loading authorized data","PartnerIntakeScreen explains the zero-result condition and offers only a valid filter reset or owning workflow action","PartnerIntakeScreen distinguishes validation, dependency, authorization, and server failures and displays a correlation reference","PartnerIntakeScreen hides sensitive fields and actions and does not reveal whether an inaccessible object exists","PartnerIntakeScreen shows unavailable or explicitly stale read state and never substitutes donor or preview data","PartnerIntakeScreen retries bounded reads; writes require confirmation, retained idempotency key, and stale-version protection","PartnerIntakeScreen renders the authoritative service read model and audited outcome","PartnerIntakeScreen names the missing contract, permission, dependency, or business rule without claiming completion","donor visual pattern only; rebuild with public ui-kit exports","PartnerIntakeScreen state render tests, permission test, RTL screenshot, narrow-width overflow screenshot","INVENTORY_ONLY","Implement with DSH-006 after contract approval"
"SCR-008","dsh","control-panel","operations","operations-room","DSH-011","services/dsh/frontend/control-panel/operations/OperationsRoomScreen.tsx","services/dsh/frontend/control-panel/operations/OperationsRoomRoute.tsx","OperationsRoomScreen preserves table or workspace geometry while loading authorized data","OperationsRoomScreen explains the zero-result condition and offers only a valid filter reset or owning workflow action","OperationsRoomScreen distinguishes validation, dependency, authorization, and server failures and displays a correlation reference","OperationsRoomScreen hides sensitive fields and actions and does not reveal whether an inaccessible object exists","OperationsRoomScreen shows unavailable or explicitly stale read state and never substitutes donor or preview data","OperationsRoomScreen retries bounded reads; writes require confirmation, retained idempotency key, and stale-version protection","OperationsRoomScreen renders the authoritative service read model and audited outcome","OperationsRoomScreen names the missing contract, permission, dependency, or business rule without claiming completion","donor visual pattern only; rebuild with public ui-kit exports","OperationsRoomScreen state render tests, permission test, RTL screenshot, narrow-width overflow screenshot","INVENTORY_ONLY","Implement with DSH-011 after contract approval"
"SCR-009","dsh","control-panel","operations","operations-room","DSH-011","services/dsh/frontend/control-panel/operations/CommandCenterScreen.tsx","services/dsh/frontend/control-panel/operations/CommandCenterRoute.tsx","CommandCenterScreen preserves table or workspace geometry while loading authorized data","CommandCenterScreen explains the zero-result condition and offers only a valid filter reset or owning workflow action","CommandCenterScreen distinguishes validation, dependency, authorization, and server failures and displays a correlation reference","CommandCenterScreen hides sensitive fields and actions and does not reveal whether an inaccessible object exists","CommandCenterScreen shows unavailable or explicitly stale read state and never substitutes donor or preview data","CommandCenterScreen retries bounded reads; writes require confirmation, retained idempotency key, and stale-version protection","CommandCenterScreen renders the authoritative service read model and audited outcome","CommandCenterScreen names the missing contract, permission, dependency, or business rule without claiming completion","donor visual pattern only; rebuild with public ui-kit exports","CommandCenterScreen state render tests, permission test, RTL screenshot, narrow-width overflow screenshot","INVENTORY_ONLY","Implement with DSH-011 after contract approval"
"SCR-010","dsh","control-panel","operations","operations-room","DSH-011","services/dsh/frontend/control-panel/operations/LiveOrdersScreen.tsx","services/dsh/frontend/control-panel/operations/LiveOrdersRoute.tsx","LiveOrdersScreen preserves table or workspace geometry while loading authorized data","LiveOrdersScreen explains the zero-result condition and offers only a valid filter reset or owning workflow action","LiveOrdersScreen distinguishes validation, dependency, authorization, and server failures and displays a correlation reference","LiveOrdersScreen hides sensitive fields and actions and does not reveal whether an inaccessible object exists","LiveOrdersScreen shows unavailable or explicitly stale read state and never substitutes donor or preview data","LiveOrdersScreen retries bounded reads; writes require confirmation, retained idempotency key, and stale-version protection","LiveOrdersScreen renders the authoritative service read model and audited outcome","LiveOrdersScreen names the missing contract, permission, dependency, or business rule without claiming completion","donor visual pattern only; rebuild with public ui-kit exports","LiveOrdersScreen state render tests, permission test, RTL screenshot, narrow-width overflow screenshot","INVENTORY_ONLY","Implement with DSH-011 after contract approval"
