candidate_id,element,current_state,proposed_disposition,impact_proof,finding_id,task_id,deletion_allowed
CAN-001,services/dsh/database/migrations/manifest.extensions.json entry dsh-972,ACTIVE entry points to missing file,RESTORE_MIGRATION_OR_RETIRE_ENTRY_AFTER_SCHEMA_CONSUMER_AND_DATA_PROOF,DSH migration and runtime CI fail before schema checks,FND-0002,TASK-0001,false
CAN-002,services/wlt/database/migrations/manifest.extensions.json entry wlt-905,ACTIVE entry points to missing file,RESTORE_MIGRATION_OR_RETIRE_ENTRY_AFTER_SCHEMA_CONSUMER_AND_DATA_PROOF,WLT migration and full runtime bootstrap fail,FND-0003,TASK-0002,false
CAN-003,services/wlt/frontend/shared/dsh/.wlt-mutation-approved,blanket Boolean approval for all mutation verbs under subtree,REMOVE_AFTER_OPENAPI_OPERATION_LEVEL_AUTHORIZATION_IS_ENFORCED,fullstack boundary gate passes without inspecting each proxy mutation,FND-0013,TASK-0006,false
CAN-004,services/dsh/frontend/shared/_kernel/dsh-http-request.ts and services/wlt/frontend/shared/dsh/dsh-link/dsh-http-request.ts,exact byte duplicate with active consumers,CONVERGE_TO_ONE_OWNED_TRANSPORT_OR_GENERATED_ADAPTER,exact duplicate group current baseline,FND-0014,TASK-0011,false
CAN-005,services/dsh/frontend/shared/_kernel/dsh-api-base-url.ts and services/wlt/frontend/shared/dsh/dsh-link/dsh-api-base-url.ts,exact byte duplicate with active consumers,CONVERGE_TO_ONE_OWNED_CONFIG_ADAPTER,exact duplicate group current baseline,FND-0014,TASK-0011,false
CAN-006,16 mobile runtime icon assets,one identical 588092-byte image copied across four apps and four roles,KEEP_RUNTIME_COPIES_UNTIL_DETERMINISTIC_GENERATION_OR_COPY_STEP_EXISTS,DUP-0001 and repository-size warnings,FND-0016,TASK-0011,false
CAN-007,root @redocly/cli,Knip reports unused dev dependency,VERIFY_DIRECT_AND_TRANSITIVE_CONTRACT_SCRIPT_USE,deep diagnostics current SHA,FND-0011,TASK-0010,false
CAN-008,services/wlt package next dependency,Knip reports unused dev dependency,VERIFY_PACKAGE_ROLE_AND_CONSUMERS_THEN_REMOVE_OR_DOCUMENT,deep diagnostics current SHA,FND-0011,TASK-0010,false
CAN-009,tools/guards/direct-work-branch-execution-gate.test.mjs,repository naming warning,RENAME_WITH_IMPORT_SCRIPT_AND_REGISTRY_UPDATE,repository naming diagnostics current SHA,FND-0010,TASK-0007,false
CAN-010,tools/diagnose-implementing/dsh-wlt-all-journeys-final-closure-reassessment-2026-08-04,temporary derived package,DELETE_ONLY_AFTER_DURABLE_OUTPUTS_MIGRATED_AND_STRICT_DISPOSAL_PASS,package contract,FND-0017,TASK-0018,false
CAN-011,24 exact duplicate groups,85 files share exact content,CLASSIFY_EACH_GROUP_AS_REQUIRED_GENERATED_OR_MANUAL_DUPLICATE,duplicate-content-groups.csv,FND-0014,TASK-0011,false
CAN-012,110 text files with at least 500 lines,hotspot signal only,REFACTOR_ONLY_AFTER_OWNERSHIP_CHANGE_COUPLING_AND_TEST_PROOF,large-text-files.csv,FND-0015,TASK-0012,false
