"journey_id","app","surface","service","capability","slice_id","actor","entry_point","screen_sequence","target_paths","api_contracts","db_dependency","wlt_dependency","permissions","primary_actions","secondary_actions","states_required","offline_or_retry_required","visual_reference_required","evidence_required","status","next_action"
"JRN-001","app-client","app-client","dsh","store-discovery","DSH-001","client","app-client canonical navigation","app-client canonical navigation > StoreDiscoveryScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/store-discovery/StoreDiscoveryScreen.tsx","NEW_REQUIRED: GET /dsh/stores or GET /dsh/stores/{storeId}","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'StoreDiscoveryScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","browse visible serviceable stores and open an authorized store detail","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","StoreDiscoveryScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","BLOCKED_NEEDS_API_CONTRACT","Approve Store Discovery OpenAPI first"
"JRN-002","app-client","app-client","dsh","store-discovery","DSH-001","client","app-client canonical navigation","app-client canonical navigation > StoreDetailsScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/store-discovery/StoreDetailsScreen.tsx","NEW_REQUIRED: GET /dsh/stores or GET /dsh/stores/{storeId}","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'StoreDetailsScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","browse visible serviceable stores and open an authorized store detail","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","StoreDetailsScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","BLOCKED_NEEDS_API_CONTRACT","Approve Store Discovery OpenAPI first"
"JRN-003","app-client","app-client","dsh","storefront-catalog","DSH-002","client","app-client canonical navigation","app-client canonical navigation > StorefrontCatalogScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/storefront-catalog/StorefrontCatalogScreen.tsx","NEW_REQUIRED in DSH-002","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'StorefrontCatalogScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","perform the journey-specific authorized operation","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","StorefrontCatalogScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-002 entry gate"
"JRN-004","app-client","app-client","dsh","storefront-catalog","DSH-002","client","app-client canonical navigation","app-client canonical navigation > ProductDetailsScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/storefront-catalog/ProductDetailsScreen.tsx","NEW_REQUIRED in DSH-002","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'ProductDetailsScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","perform the journey-specific authorized operation","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","ProductDetailsScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-002 entry gate"
"JRN-005","app-client","app-client","dsh","store-discovery","DSH-001","client","app-client canonical navigation","app-client canonical navigation > SearchFilterScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/store-discovery/SearchFilterScreen.tsx","NEW_REQUIRED: GET /dsh/stores or GET /dsh/stores/{storeId}","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'SearchFilterScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","browse visible serviceable stores and open an authorized store detail","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","SearchFilterScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","BLOCKED_NEEDS_API_CONTRACT","Approve Store Discovery OpenAPI first"
"JRN-006","app-client","app-client","dsh","cart-serviceability","DSH-003","client","app-client canonical navigation","app-client canonical navigation > CartScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/cart-serviceability/CartScreen.tsx","NEW_REQUIRED in DSH-003","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'CartScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","perform the journey-specific authorized operation","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","CartScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-003 entry gate"
"JRN-007","app-client","app-client","dsh","address-zone-serviceability","DSH-009","client","app-client canonical navigation","app-client canonical navigation > AddressServiceabilityScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/address-zone-serviceability/AddressServiceabilityScreen.tsx","NEW_REQUIRED in DSH-009","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'AddressServiceabilityScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","perform the journey-specific authorized operation","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","AddressServiceabilityScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-009 entry gate"
"JRN-008","app-client","app-client","dsh","checkout-intent","DSH-004","client","app-client canonical navigation","app-client canonical navigation > CheckoutIntentScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/checkout-intent/CheckoutIntentScreen.tsx","NEW_REQUIRED in DSH-004","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'CheckoutIntentScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","perform the journey-specific authorized operation","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","CheckoutIntentScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-004 entry gate"
"JRN-009","app-client","app-client","dsh","payment-integration","DSH-WLT-001","client","app-client canonical navigation","app-client canonical navigation > PaymentStatusScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/payment-integration/PaymentStatusScreen.tsx","NEW_REQUIRED: correlated DSH/WLT service contract","No local runtime truth; use owning service aggregate/read model only","Required read-only WLT reference/status contract","For 'PaymentStatusScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","read correlated WLT status/reference without mutating financial truth","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","PaymentStatusScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","BLOCKED_NEEDS_WLT","Retain until DSH-WLT-001 entry gate"
"JRN-010","app-client","app-client","dsh","order-tracking","DSH-005","client","app-client canonical navigation","app-client canonical navigation > OrderTrackingScreen loading/permission gate > client-owned data > primary action or detail > authoritative success, empty, blocked, or retry state","services/dsh/frontend/app-client/order-tracking/OrderTrackingScreen.tsx","NEW_REQUIRED in DSH-005","No local runtime truth; use owning service aggregate/read model only","none unless explicitly declared by slice","For 'OrderTrackingScreen': client identity plus own/assigned/store scope appropriate to app-client; deny route and data when scope fails","perform the journey-specific authorized operation","refresh authoritative state; retry safely; preserve permitted draft; open contextual support; return without losing confirmed state","loading|empty|error|permission|offline|retry|success|blocked","bounded retry with no fabricated live data or duplicate write","yes","OrderTrackingScreen route, permission, empty/error/offline/retry/success tests plus RTL and small-screen screenshots","INVENTORY_ONLY","Retain until DSH-005 entry gate"
