"page_id","section","service","capability","slice_id","page_type","target_path","route_path","actor","allowed_actions","api_contract","db_dependency","wlt_boundary","permissions","states_required","filters_required","table_columns_required","bulk_actions_allowed","audit_required","visual_reference_required","evidence_required","status","next_action"
"CP-001","partners","dsh","partner-orders","DSH-006","review","services/dsh/frontend/control-panel/partners/PartnerApprovalsScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerApprovalsRoute.tsx","operator","inspect and submit explicitly authorized operational decision with reason and evidence","NEW_REQUIRED: DSH-owned control-panel contract in DSH-006","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","partners function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","PartnerApprovalsScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-006 after service contract and read model approval"
"CP-002","partners","dsh","partner-orders","DSH-006","review","services/dsh/frontend/control-panel/partners/PartnerActivationScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerActivationRoute.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-006","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","partners function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes for sensitive reads or actions","yes","PartnerActivationScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-006 after service contract and read model approval"
"CP-003","partners","dsh","partner-orders","DSH-006","review","services/dsh/frontend/control-panel/partners/PartnerDocumentReviewScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerDocumentReviewRoute.tsx","operator","inspect and submit explicitly authorized operational decision with reason and evidence","NEW_REQUIRED: DSH-owned control-panel contract in DSH-006","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","partners function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","PartnerDocumentReviewScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-006 after service contract and read model approval"
"CP-004","partners","dsh","partner-orders","DSH-006","data-table","services/dsh/frontend/control-panel/partners/PartnerReadinessScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerReadinessRoute.tsx","operator","inspect and submit explicitly authorized operational decision with reason and evidence","NEW_REQUIRED: DSH-owned control-panel contract in DSH-006","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","partners function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","PartnerReadinessScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-006 after service contract and read model approval"
"CP-005","partners","dsh","partner-orders","DSH-006","review","services/dsh/frontend/control-panel/partners/PartnerDeactivationScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerDeactivationRoute.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-006","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","partners function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes for sensitive reads or actions","yes","PartnerDeactivationScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-006 after service contract and read model approval"
"CP-006","partners","dsh","partner-orders","DSH-006","data-table","services/dsh/frontend/control-panel/partners/PartnerFulfillmentLaneScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerFulfillmentLaneRoute.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-006","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","partners function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes for sensitive reads or actions","yes","PartnerFulfillmentLaneScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-006 after service contract and read model approval"
"CP-007","partners","dsh","partner-orders","DSH-006","queue","services/dsh/frontend/control-panel/partners/PartnerIntakeScreen.tsx","services/dsh/frontend/control-panel/partners/PartnerIntakeRoute.tsx","operator","inspect and submit explicitly authorized operational decision with reason and evidence","NEW_REQUIRED: DSH-owned control-panel contract in DSH-006","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","partners function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","PartnerIntakeScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-006 after service contract and read model approval"
"CP-008","operations","dsh","operations-room","DSH-011","overview","services/dsh/frontend/control-panel/operations/OperationsRoomScreen.tsx","services/dsh/frontend/control-panel/operations/OperationsRoomRoute.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","operations function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes for sensitive reads or actions","yes","OperationsRoomScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-009","operations","dsh","operations-room","DSH-011","data-table","services/dsh/frontend/control-panel/operations/CommandCenterScreen.tsx","services/dsh/frontend/control-panel/operations/CommandCenterRoute.tsx","operator","read,filter,inspect and navigate","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","operations function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes for sensitive reads or actions","yes","CommandCenterScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
"CP-010","operations","dsh","operations-room","DSH-011","queue","services/dsh/frontend/control-panel/operations/LiveOrdersScreen.tsx","services/dsh/frontend/control-panel/operations/LiveOrdersRoute.tsx","operator","inspect and submit explicitly authorized operational decision with reason and evidence","NEW_REQUIRED: DSH-owned control-panel contract in DSH-011","DSH-owned operational read model","Any financial field is an opaque read-only WLT reference","operations function permission plus tenant and object scope; sensitive reads audited; deny by default","loading|empty|error|permission|success|blocked|retry","status,date,owner,search,cursor plus section-specific filters","identifier,status,owner,updatedAt,risk,auditReference plus page-specific facts","no","yes","yes","LiveOrdersScreen route render; all declared states; permission denial; filters; action audit where applicable; RTL and overflow screenshots","INVENTORY_ONLY","Implement only in DSH-011 after service contract and read model approval"
