finding_id,priority,phase,primary_task,verification_ids,immediate_cause,structural_cause,correct_truth_owner
FND-0001,P0,PHASE-10,TASK-0018,VER-0018,Required gates fail.,Cleanup and package changes were pushed without closing all same-SHA prerequisites.,Same-SHA CI aggregate and canonical service owners
FND-0002,P0,PHASE-02,TASK-0001,VER-0001,Migration file was deleted while its manifest entry remained active.,"Deletion was not atomic with manifest, schema, consumers and upgrade fixtures.",DSH database migration owner
FND-0003,P0,PHASE-02,TASK-0002,VER-0002,Migration file was deleted while its manifest entry remained active.,"Deletion was not atomic with manifest, financial schema, consumers and runtime bootstrap.",WLT database migration owner
FND-0004,P1,PHASE-01,TASK-0003,VER-0003,A source line retained trailing whitespace.,The final diff check was not enforced before the relevant push.,DSH HTTP owner and immutable diff gate
FND-0005,P0,PHASE-01,TASK-0004,VER-0004,The guard imports typescript instead of the repository-approved compiler alias.,Compiler API ownership is not centralized or self-tested across all AST guards.,Shared compiler-loader utility backed by @typescript/typescript6
FND-0006,P0,PHASE-01,TASK-0004,VER-0004,The guard imports typescript instead of the approved compiler alias.,AST guards do not share one tested Compiler API loader.,Shared compiler-loader utility backed by @typescript/typescript6
FND-0007,P0,PHASE-03,TASK-0005,VER-0005,Routes/endpoints were removed or moved without converging the canonical contracts.,Contract and implementation lifecycle is not enforced as one atomic unit.,DSH OpenAPI owner plus DSH server route owner
FND-0008,P0,PHASE-06,TASK-0013,VER-0013,Database precondition fails.,Runtime proof is downstream of migration authority and is not independently closeable.,Runtime owner after DSH/WLT migration owners
FND-0009,P0,PHASE-06,TASK-0014,VER-0014|VER-0015|VER-0016|VER-0017,The governance status was not regenerated after repository movement.,Journey state is document-local and can drift from current CI/runtime evidence.,Canonical journey package and same-SHA evidence ledger
FND-0010,P1,PHASE-01,TASK-0007,VER-0007,The package framework was added without the matching exact naming policy exception.,Permanent tooling and repository naming were changed in separate units.,Repository naming policy owner
FND-0011,P1,PHASE-01,TASK-0010,VER-0010,Operator-invoked tools are invisible to import-only analysis.,Dead-code policy lacks exact entrypoint and generated/tooling provenance.,Repository tool catalog and package owners
FND-0012,P1,PHASE-05,TASK-0009,VER-0009,Screen files can exist without explicit route/controller registration.,Surface inventories and runtime reachability are not a hard closure gate.,Surface route registries and shared brains
FND-0013,P0,PHASE-04,TASK-0006,VER-0006,A broad file-level bypass was used to suppress false positives.,The guard does not resolve mutation method and path to canonical operation authority.,Canonical DSH OpenAPI operation metadata and boundary guard
FND-0014,P2,PHASE-05,TASK-0011,VER-0011,Files were copied across surfaces/services without provenance metadata.,The repository lacks one deterministic generated-copy or shared-package rule per duplicate class.,Canonical shared owner or deterministic generation owner
FND-0015,P2,PHASE-05,TASK-0012,VER-0012,Several modules accumulate multiple responsibilities.,There is no coupling/churn threshold tied to ownership and test boundaries.,Domain/service owners with architecture gate
FND-0016,P2,PHASE-05,TASK-0011,VER-0011,Runtime-required files were copied manually.,Mobile build inputs lack a single source-to-runtime materialization contract.,Mobile tooling source and deterministic materializer
FND-0017,P1,PHASE-10,TASK-0018,VER-0018,Deletion was treated as ordinary cleanup.,Disposal evidence was not a mandatory pre-delete contract at the time of deletion.,Permanent diagnosis framework and cleanup policy
FND-0018,P0,PHASE-01,TASK-0007,VER-0007,Validator compares some counts but does not enforce manifest plan-ready thresholds.,Framework schema validation is weaker than the documented planning contract.,Permanent validate-package tool and tests
FND-0019,P1,PHASE-01,TASK-0008,VER-0008,Selection and compatibility paths are incomplete.,Gate observability and parameter contract are not tested together.,Guard registry and Journey Gate owner
FND-0020,P0,PHASE-07,TASK-0015,VER-0015|VER-0016|VER-0017|VER-0018,Required behavior has not been executed and evidenced end to end.,Evidence is distributed across documents and CI without a final same-SHA closure transaction.,Canonical journey package plus same-SHA aggregate
