source_path,target_path,service,surface,layer,capability,donor_value,risk,normalization_needed,decision,reason,verification
dsh/backend/internal/store/,services/dsh/backend/internal/store/,dsh,system,backend,store-discovery,Complete Go handler+repository+model for store listing and detail. Real SQL with filtering and pagination.,LOW — backend is typed Go. Check for old ports in server config.,Port audit: ensure DSH_API runs on 58080 not 8080 as host. Remove any CORS wildcard if present.,ADOPT_AS_IS,"DSH-001 already RUNTIME_VERIFIED in target. Donor store handler is the upstream source. No financial mutations. No mock data in handler itself.",Invoke-RestMethod 'http://localhost:58080/dsh/stores?limit=10&offset=0'
dsh/backend/internal/homediscovery/,services/dsh/backend/internal/homediscovery/,dsh,system,backend,home-discovery,Complete Go handler+repository+model for home discovery. Banners/promos/categories via SQL JOIN.,LOW — clean typed Go. Check for mock data fallbacks.,Remove any DefaultFilters() hardcoded city codes. Ensure city comes from query param only.,ADOPT_AS_IS,"DSH-002 already RUNTIME_VERIFIED in target. Donor home discovery handler is upstream source.",Invoke-RestMethod 'http://localhost:58080/dsh/home-discovery'
dsh/backend/internal/http/server.go,services/dsh/backend/internal/http/server.go,dsh,system,backend,http-server,Go HTTP server with router and CORS middleware. Routes all 5 DSH operations.,MEDIUM — CORS config may have wildcard. Verify timeout configuration.,Verify CORS: must not be wildcard (*) in non-local. Add HTTP read/write timeouts if missing.,ADAPT_NORMALIZE,"Server structure is valid but CORS and timeouts must be verified before adopting.",go build services/dsh/backend/cmd/dsh-api
dsh/backend/database/migrations/,services/dsh/database/migrations/,dsh,system,database,db-migrations,SQL migration files for dsh_stores + home discovery tables.,LOW — SQL is clean DDL.,Verify column names match target schema exactly. Do not run donor migrations if target migrations already applied.,REFERENCE_ONLY,"Target already has migrations DSH-001 and DSH-002 applied. Donor migrations are upstream reference only — do not re-apply.",pnpm runtime:migrate && Invoke-RestMethod 'http://localhost:58080/dsh/readiness'
dsh/backend/database/seeds/local/,services/dsh/database/seeds/local/,dsh,system,database,local-seeds,SQL seed files for 6 stores + banners/promos/categories. Media URLs pointing to MinIO.,MEDIUM — check for fake actor IDs or hardcoded non-MinIO URLs.,Replace any hardcoded IP or non-MinIO image URLs. Ensure storeId format matches target (store-XXXX pattern).,ADAPT_NORMALIZE,"Seed data structure is valid. Normalize IDs and image URLs to match target conventions.",pnpm runtime:seed && Invoke-RestMethod 'http://localhost:58080/dsh/stores?limit=10'
dsh/frontend/screens/ (store-discovery),apps/app-client/runtime/src/features/store-discovery/,dsh,app-client,frontend-surface,store-discovery-screens,Store listing and card screens in React Native. Uses Tamagui components.,HIGH — likely uses Tamagui directly not via ui-kit. Check for direct fetch in screens.,Replace all direct Tamagui imports with shared/ui-kit components. Remove any direct fetch — use generated client.,ADAPT_NORMALIZE,"Donor screens are visual reference and logic base. Must be rewritten to use ui-kit. DSH-001 target screens already exist — use as diff reference.",pnpm run guard:no-direct-fetch-in-screen
dsh/frontend/screens/ (home-discovery),apps/app-client/runtime/src/features/home-discovery/,dsh,app-client,frontend-surface,home-discovery-screens,Home screen with banner/promo/category/filter rail components.,HIGH — likely uses direct Tamagui. Check for mock banner data fallbacks.,Remove direct Tamagui. Remove mock/fallback banner arrays. Use generated client for API calls.,ADAPT_NORMALIZE,"Visual reference only. Target DSH-002 screens already implemented. Donor is upstream reference.",pnpm run guard:no-direct-fetch-in-screen
dsh/frontend/screens/ (catalog),apps/app-client/runtime/src/features/catalog/,dsh,app-client,frontend-surface,catalog-screens,Product catalog listing and detail screens.,HIGH — likely has direct Tamagui and possible direct fetch.,Full rewrite using ui-kit components and generated catalog client.,REWRITE_FROM_SPEC,"Donor catalog UI may have significant violations. DSH-003 not yet started in target — extract logic/layout as reference only.","N/A — DSH-003 not yet implemented"
dsh/frontend/screens/ (catalog),apps/app-partner/runtime/src/features/catalog/,dsh,app-partner,frontend-surface,partner-catalog-management,Partner catalog management screens (add/edit product availability).,HIGH — likely direct Tamagui. Partner auth required.,Rewrite using ui-kit. Add partner JWT auth. Remove any fake partner IDs.,REWRITE_FROM_SPEC,"Partner surface is stub in target. Use donor as visual and logic reference only.","N/A — DSH-003 not yet implemented"
dsh/frontend/screens/ (cart),apps/app-client/runtime/src/features/cart/,dsh,app-client,frontend-surface,cart-screens,Cart screen with item management and serviceability display.,HIGH — check for financial calculation (should be display only).,Remove any financial total calculation from cart screen. Cart total is display only.,ADAPT_NORMALIZE,"Cart screens are valid reference. Must ensure no financial mutations in cart. DSH-004 not yet started.","N/A — DSH-004 not yet implemented"
